age,education,occupation,sex,hours_per_week,income
32,2,5,1,34,0
31,3,1,0,52,1
50,1,5,0,29,1
21,3,4,0,20,1
54,2,2,0,31,0
42,2,5,1,48,1
36,3,2,0,36,0
45,2,4,1,23,1
27,2,5,1,48,0
48,1,1,0,26,0
45,1,1,1,32,1
29,1,2,0,24,0
45,1,1,0,25,1
53,2,1,0,53,1
60,2,1,1,26,0
26,2,4,1,47,1
23,1,1,0,29,0
64,1,3,1,23,1
30,2,5,1,22,0
48,3,1,1,44,1
55,1,1,1,42,0
44,3,1,1,46,1
40,2,3,0,33,0
55,2,1,1,57,1
29,2,1,1,51,0
56,1,5,0,42,0
28,1,3,1,59,0
43,2,3,1,56,1
54,2,1,1,22,0
54,3,3,0,54,1
55,2,2,1,32,0
37,1,3,1,53,0
58,3,3,0,43,1
51,1,3,0,20,0
43,2,4,1,31,1
42,2,4,0,27,1
51,3,4,0,38,1
56,3,3,0,28,1
31,2,2,1,47,0
32,2,3,1,33,0
42,3,1,0,46,1
44,1,2,0,37,0
54,1,4,0,25,1
60,1,5,0,52,1
49,1,2,1,56,1
36,2,4,0,44,1
39,2,2,1,32,0
44,2,2,0,42,0
41,1,3,1,55,1
32,3,1,1,52,1
38,2,5,0,40,0
55,2,4,1,53,1
31,2,2,1,55,0
60,2,5,1,36,0
38,1,2,0,29,0
31,1,1,1,42,0
28,3,5,1,21,0
26,3,4,0,54,1
47,2,2,0,33,0
33,1,1,1,21,0
50,2,5,1,38,1
38,3,2,0,35,0
35,3,2,0,44,0
24,1,4,1,20,0
54,1,1,1,21,0
31,3,3,0,46,1
44,2,2,0,21,1
40,1,5,1,49,1
55,1,4,1,29,1
42,2,4,0,38,1
35,3,2,1,35,0
58,3,2,1,32,1
64,2,2,1,27,0
61,2,3,1,50,1
58,1,2,0,44,0
33,2,1,0,58,0
50,2,5,1,40,1
24,2,2,1,57,0
54,2,3,1,48,1
42,1,5,1,25,0
48,1,4,0,37,1
62,2,2,1,54,1
30,1,5,1,46,1
37,1,4,0,24,1
31,3,3,0,26,0
28,2,1,1,29,0
29,2,2,0,29,0
63,3,1,0,47,1
36,3,3,1,55,1
57,2,5,1,29,0
26,3,5,0,54,1
32,2,3,1,54,0
59,2,3,0,56,1
61,2,2,0,39,0
28,2,4,0,32,0
46,2,1,1,30,0
21,2,1,1,38,0
24,1,5,0,47,0
48,2,5,0,57,1
56,1,2,1,23,0
57,2,3,0,56,1
38,2,1,0,38,0
27,3,2,1,56,1
64,3,5,1,33,1
20,3,5,1,50,1
41,2,1,1,47,1
36,3,5,0,55,1
26,2,5,1,57,0
44,1,4,1,38,1
64,1,3,0,20,0
23,1,5,0,42,0
55,2,4,0,47,1
25,2,2,1,23,0
50,3,5,0,37,1
38,1,2,1,58,0
63,1,5,0,44,0
58,3,1,1,37,1
46,1,4,0,25,1
29,2,4,1,38,0
45,2,1,1,31,0
38,2,3,0,44,0
58,1,4,0,54,1
22,1,2,1,20,0
64,1,4,0,24,1
32,2,3,1,20,0
47,2,2,1,27,1
39,1,2,1,58,0
47,2,1,0,37,1
27,3,5,1,28,0
60,1,1,1,24,0
58,2,5,1,23,0
20,2,1,1,48,1
22,1,5,0,20,0
32,2,4,0,49,1
47,2,2,1,20,0
44,3,5,0,22,1
52,3,4,0,41,1
57,2,3,1,27,0
25,3,1,0,37,0
63,2,3,0,44,0
64,2,4,0,39,1
51,2,3,0,50,1
64,1,3,0,49,1
40,3,4,0,35,1
35,2,2,1,21,0
40,2,5,0,36,0
30,3,1,1,29,0
56,1,5,1,26,0
55,2,1,1,28,1
54,1,5,0,36,0
38,3,3,0,28,0
39,3,2,1,28,0
37,2,3,1,56,0
60,2,2,1,43,0
33,2,4,0,58,1
34,3,1,0,30,0
50,2,1,0,27,0
20,2,4,1,44,0
22,3,5,0,21,0
35,1,4,0,29,1
42,1,4,1,43,1
30,2,2,0,35,0
31,3,4,1,38,1
29,2,1,0,50,0
51,1,3,1,30,0
35,2,2,0,25,0
27,2,2,1,25,0
57,1,5,0,51,1
31,2,3,1,58,0
43,3,2,1,32,1
47,2,4,0,22,1
27,2,2,0,54,0
47,2,2,1,57,1
55,1,2,0,36,0
45,3,5,1,22,1
27,2,2,1,53,1
47,2,2,0,31,0
47,2,5,0,43,0
56,2,3,0,25,0
60,2,1,1,30,1
55,1,5,1,46,1
46,3,5,0,43,1
36,3,2,1,37,0
28,2,2,1,46,1
52,3,1,0,40,1
39,1,2,1,53,1
32,2,4,1,52,1
47,2,2,1,37,0
48,2,2,0,22,0
32,2,4,0,43,0
54,2,1,1,20,0
25,1,4,0,25,0
37,2,5,1,38,0
24,1,4,0,41,0
44,3,3,1,27,1
21,1,5,1,24,0
29,1,2,1,28,0
49,2,5,1,40,0
64,2,1,0,47,1
24,3,1,1,23,0
52,2,4,1,43,1
20,2,5,0,27,0
37,3,2,0,36,1
51,2,1,1,53,1
30,1,2,1,39,0
40,2,3,0,35,0
45,3,1,1,29,1
44,2,4,1,53,1
41,1,3,1,29,0
46,1,5,1,49,1
32,1,2,1,49,0
52,2,1,1,44,0
53,2,3,1,26,0
60,1,3,1,39,0
54,3,1,1,36,1
20,3,5,0,22,1
40,2,5,0,59,1
25,3,4,0,55,1
47,1,5,1,45,1
36,2,4,1,29,0
24,2,3,1,53,0
50,3,1,0,33,1
24,3,5,0,27,0
57,1,4,1,46,1
22,3,3,0,29,1
42,1,5,0,34,0
56,3,2,1,56,1
56,3,3,1,41,1
29,1,5,0,50,0
29,3,3,1,21,1
38,1,1,0,50,0
36,2,1,0,33,0
40,2,1,0,29,0
33,2,2,1,49,0
28,3,1,0,55,1
20,2,2,0,59,0
64,2,1,1,34,1
32,3,3,1,33,0
23,3,5,0,50,1
20,1,5,1,48,0
59,3,1,1,46,1
51,1,5,0,40,1
53,3,1,1,28,1
47,1,1,0,39,0
50,1,4,1,54,1
27,2,4,1,34,1
58,2,4,0,43,1
45,2,2,0,35,1
53,1,4,1,55,1
22,2,1,1,30,0
31,3,3,1,27,0
20,2,4,0,22,0
63,1,4,1,38,1
24,2,3,0,22,0
49,1,1,1,55,1
49,3,2,1,44,1
36,3,4,1,55,1
42,2,3,1,30,1
34,2,1,1,35,0
56,3,5,0,36,1
40,2,2,0,43,0
33,3,3,0,36,0
21,2,3,1,39,0
30,3,3,0,41,1
58,2,4,0,25,1
57,2,5,1,26,0
53,3,2,1,33,1
57,2,1,0,30,0
53,2,1,0,31,0
37,1,5,0,24,0
49,2,3,0,24,0
34,2,3,0,39,0
46,1,3,0,34,0
53,1,3,0,45,0
57,2,3,1,52,1
52,3,5,0,49,1
43,2,4,1,43,1
34,1,2,1,42,0
49,2,3,1,28,0
61,1,4,0,22,1
36,2,1,0,55,0
24,1,5,1,26,0
48,1,4,0,41,1
23,1,3,0,33,0
29,2,3,1,48,1
36,1,3,0,35,0
29,2,4,1,53,1
36,2,3,1,29,0
39,2,4,1,26,1
43,2,3,1,44,0
24,3,1,0,46,1
53,1,1,1,34,0
25,2,2,0,51,0
21,1,3,0,47,0
32,1,3,0,28,0
62,2,4,0,26,1
62,2,4,1,35,1
30,3,3,1,45,0
42,2,2,1,54,1
35,3,3,1,36,0
50,1,4,1,42,1
30,1,3,0,27,0
35,1,4,1,21,0
27,1,3,0,50,0
23,2,5,0,51,1
59,2,4,1,48,1
23,1,2,0,22,0
44,3,5,0,27,1
22,3,3,1,21,0
51,1,4,1,50,1
22,1,5,1,56,1
46,1,2,0,39,1
48,1,4,1,48,1
51,1,5,1,36,0
38,2,5,0,29,0
40,1,5,1,41,0
24,2,1,0,25,0
37,3,3,0,53,1
47,2,4,1,50,1
61,3,4,0,31,1
41,1,4,0,31,1
40,2,5,1,35,0
25,2,3,1,44,0
20,1,2,1,41,0
24,1,4,0,46,1
60,2,3,0,43,0
31,2,3,1,31,0
45,2,1,1,37,0
53,2,4,1,35,1
33,2,5,0,23,0
45,1,3,1,31,0
64,2,3,0,52,1
46,1,2,1,41,0
28,1,1,0,37,0
45,3,3,0,52,1
41,2,3,1,46,1
49,3,5,0,38,1
62,2,5,0,33,0
36,2,2,1,44,0
45,1,2,1,53,1
55,1,2,0,43,0
20,1,5,0,57,0
27,3,5,0,42,0
54,2,1,1,24,1
34,2,4,0,55,1
41,2,4,0,43,1
33,3,1,1,55,1
45,1,4,1,24,1
47,1,5,1,58,1
42,2,4,1,25,1
33,3,5,1,55,1
43,3,1,0,23,1
21,1,2,0,29,0
64,3,1,0,20,1
45,3,4,1,40,1
33,1,5,1,59,0
26,2,4,1,58,1
22,2,4,0,56,1
42,3,2,1,22,1
62,1,4,1,50,1
64,3,2,1,46,1
37,2,5,0,36,0
57,3,5,1,42,1
54,2,2,1,32,0
34,2,1,0,46,0
44,3,5,1,39,1
56,3,1,1,32,1
47,3,5,1,43,1
29,1,5,0,22,0
58,2,3,1,29,0
36,1,4,1,20,0
58,2,4,0,32,1
41,2,1,0,33,1
45,2,4,1,52,1
63,2,1,0,21,1
44,3,5,1,21,1
36,1,3,0,58,0
32,2,3,1,50,0
39,2,5,1,23,0
44,1,2,1,53,1
23,1,2,0,38,0
29,3,4,0,56,1
22,3,1,1,28,0
60,3,3,1,43,1
64,3,4,1,32,1
37,1,5,1,49,0
55,2,3,0,38,0
41,2,1,0,29,1
53,2,1,1,33,1
27,2,2,0,59,0
59,2,4,0,39,1
63,2,5,0,23,0
38,2,3,1,57,0
61,1,1,1,58,1
60,2,3,0,24,1
56,2,5,0,51,1
25,2,3,1,25,0
45,1,4,1,33,1
53,3,2,1,25,1
64,1,3,0,33,0
25,2,2,0,31,0
56,3,5,0,46,1
52,2,2,1,45,0
41,1,3,1,31,1
40,2,3,1,27,0
25,2,1,1,29,0
25,3,3,1,35,1
23,3,2,0,45,0
49,2,1,0,27,1
30,2,3,0,48,1
49,1,3,1,39,1
50,1,5,0,36,1
43,2,1,1,38,0
28,2,5,0,36,0
22,2,5,0,58,0
50,1,5,1,20,0
59,1,4,0,48,1
56,2,5,0,33,1
55,1,2,0,36,0
43,3,3,0,32,1
50,1,4,0,48,1
25,2,5,0,53,0
21,3,3,0,46,1
39,1,1,1,52,0
47,2,1,0,48,1
30,1,3,1,56,0
23,2,2,0,58,0
34,2,3,1,38,0
25,2,3,1,43,0
49,2,4,0,33,1
57,3,1,1,56,1
21,1,1,1,24,0
34,1,5,0,43,0
30,3,3,1,53,1
27,2,3,0,50,1
45,3,2,1,49,1
64,2,1,1,28,0
63,3,2,1,46,1
24,2,4,1,47,1
25,3,5,0,45,0
45,3,2,0,37,1
23,2,1,0,55,0
38,1,4,0,27,0
39,1,3,0,37,0
52,1,4,1,39,1
39,1,2,0,51,0
31,2,1,1,48,0
20,2,2,0,37,0
45,2,3,0,26,0
33,2,3,0,20,0
57,2,1,0,47,1
56,1,5,1,52,1
30,1,4,0,23,0
55,1,4,1,39,1
32,2,3,1,55,0
62,1,2,0,50,1
22,1,2,1,57,0
52,2,5,1,47,1
25,3,2,0,22,1
29,1,4,1,25,1
24,2,2,0,42,0
42,2,5,0,26,1
29,3,4,1,55,1
63,3,2,1,20,1
21,1,4,1,25,0
32,1,3,1,43,0
59,3,3,1,56,1
21,2,3,1,55,0
39,2,2,1,43,0
20,2,5,0,57,0
56,2,4,0,48,1
28,3,1,0,56,1
36,3,3,1,51,1
28,3,3,1,44,0
30,1,1,1,29,0
34,3,1,0,54,1
43,1,2,0,44,1
57,1,4,0,46,1
54,3,3,1,51,1
49,1,5,0,31,0
50,1,2,0,23,0
24,1,2,1,45,0
63,3,5,0,22,1
33,2,5,0,36,0
30,2,5,0,28,0
28,1,1,1,48,0
53,3,3,0,20,1
31,3,1,1,37,1
54,2,3,1,39,0
54,2,1,0,53,1
20,1,4,0,47,1
59,3,3,1,54,1
41,2,2,1,35,1
48,3,3,1,40,1
27,2,3,1,32,0
30,3,3,1,54,1
60,3,4,0,51,1
56,2,1,1,57,1
33,3,2,0,25,0
49,2,1,1,57,1
54,1,1,0,57,1
40,2,5,1,32,0
56,3,4,0,58,1
24,2,5,0,32,0
38,1,4,1,31,0
33,2,1,1,52,1
45,2,1,0,47,1
23,2,4,0,22,0
44,2,1,0,37,1
64,3,1,1,45,1
61,1,2,1,59,1
44,2,5,1,21,1
37,1,5,1,23,0
59,1,5,0,47,1
27,3,3,1,47,1
58,3,2,1,44,1
59,2,5,1,45,0
33,3,5,1,21,0
51,3,2,1,53,1
57,3,1,0,49,1
52,1,5,1,40,0
42,3,1,0,56,1
34,2,5,1,42,0
52,2,4,1,52,1
44,1,3,1,21,0
36,2,5,1,46,1
52,1,4,0,41,1
21,1,2,0,53,0
33,2,4,1,35,0
59,3,2,0,39,1
59,3,5,0,45,1
58,2,2,1,35,1
25,3,4,0,25,1
25,3,3,0,42,0
22,3,1,1,56,1
26,1,1,1,27,0
27,2,3,0,25,0
61,3,1,1,56,1
34,2,5,1,41,0
48,2,5,1,25,0
52,2,4,0,51,1
49,2,4,1,36,1
58,2,2,1,57,1
46,1,4,0,36,1
55,2,5,0,56,1
48,3,4,0,42,1
57,3,1,0,32,1
52,1,2,0,51,1
56,3,2,1,41,1
46,2,5,0,26,1
52,2,4,1,41,1
23,3,1,0,40,1
41,3,4,1,25,1
21,3,3,1,33,0
29,2,4,0,35,0
24,3,5,0,22,1
29,1,4,0,28,0
52,3,2,0,40,1
57,3,1,0,49,1
32,2,5,0,49,0
50,1,3,1,51,1
55,3,1,1,42,1
64,1,1,1,22,0
43,1,2,1,20,0
34,3,2,1,22,0
48,2,2,0,56,1
27,3,5,0,26,0
24,2,4,1,22,1
48,1,1,1,55,1
23,3,4,0,22,1
31,2,4,0,23,0
64,1,2,0,50,1
21,3,4,0,21,1
46,2,1,1,33,0
50,2,1,1,56,1
55,2,3,0,50,1
55,3,5,0,21,1
45,3,4,1,50,1
62,3,5,1,41,1
46,1,5,1,29,0
24,3,5,0,49,1
39,2,5,1,52,0
30,2,1,0,38,0
29,2,4,0,44,0
59,3,3,0,20,1
57,3,5,1,51,1
25,1,3,1,44,0
27,2,1,0,36,0
42,3,1,1,33,1
45,1,2,0,32,1
62,3,5,1,57,1
31,2,2,0,58,1
45,2,3,0,21,0
32,1,4,1,51,1
59,1,2,1,51,1
37,3,1,0,59,1
44,1,5,1,25,0
52,3,3,0,44,1
59,2,1,0,22,0
62,1,4,0,37,1
31,1,5,0,57,0
63,2,4,0,22,1
55,3,4,0,24,1
23,2,5,0,43,0
24,2,5,0,53,0
56,2,4,1,58,1
27,2,3,1,43,0
61,2,5,0,55,1
47,3,1,0,47,1
50,2,2,0,53,1
28,2,3,1,35,0
48,1,5,0,55,1
33,3,5,0,26,0
59,1,3,0,37,1
60,1,2,1,25,0
41,2,4,1,47,1
30,2,1,1,58,0
42,2,5,0,53,1
20,2,2,0,48,0
56,3,1,1,23,1
40,1,3,0,33,0
45,3,5,1,24,1
55,2,4,1,44,1
42,2,3,0,58,1
20,2,5,0,27,0
59,1,2,0,34,0
34,3,1,0,38,0
40,2,1,1,30,0
28,2,5,1,39,0
28,2,3,1,55,0
29,3,4,1,37,1
45,2,2,1,33,0
60,3,5,1,57,1
54,2,2,0,44,0
44,1,1,1,35,0
45,1,4,0,37,1
30,2,2,0,20,0
57,1,5,1,59,1
21,1,4,1,20,1
26,3,3,0,20,0
37,3,5,0,40,0
46,3,2,1,44,1
53,1,4,1,46,1
46,1,5,0,29,0
36,1,4,1,31,0
62,3,4,1,47,1
63,3,4,1,51,1
43,2,2,1,52,1
44,1,5,1,27,1
26,2,1,0,45,0
25,2,1,1,21,0
43,2,2,1,54,1
52,2,2,0,53,1
48,3,4,0,25,1
62,1,5,1,50,1
41,1,5,1,42,1
45,3,3,0,31,1
47,1,3,1,47,1
40,1,1,1,34,0
26,1,3,1,38,0
36,1,3,0,31,0
39,2,1,1,21,0
60,3,1,1,30,1
39,2,3,0,56,0
41,2,5,1,57,1
47,2,3,1,44,0
59,2,4,1,40,1
26,3,4,1,55,1
